Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Adega De Borba;Premium;Gold;95;Portugal;Alentejo;Not Applicable;2021;White
Adega De Portalegre Winery;-;Gold;95;Portugal;Alentejo;Portalegre;2021;White
Cmrečnjak;Pušipel Mađerka Sur Lie;Gold;95;Croatia;Continental;Zagorje - Međimurje;2021;White
Dandelion Vineyards;Red Queen Shiraz;Gold;95;Australia;South Australia;Eden Valley;2021;Red
Bt Winery;Mister Marselan;Gold;95;Serbia;Srem;Fruška Gora;2021;Red
Domaine Philippe Et Sylvain Ravier;Les Amandiers;Gold;95;France;Savoie;Vin de Savoie Chignin-Bergeron;2021;White
Château Roubine;Inspire;Gold;95;France;Provence;Côtes de Provence Cru Classé;2021;Rosé
Les Vignes De L Arque;Confidentiel;Gold;95;France;Rhône;Duché d'Uzès;2021;White
Kozlovic Winery;Teran Selekcija;Gold;95;Croatia;Coastal;Hrvatska Istra;2021;Red
Cellier Des Chartreux;Le Clan Des Loups;Gold;95;France;Rhône;Côtes du Rhône Villages Saint-Gervais;2021;White
Albert Bichot;Domaine Du Pavillon Rugiens;Gold;95;France;Burgundy;Pommard 1er Cru;2021;Red
Albert Bichot;Domaine Du Clos Frantin;Gold;95;France;Burgundy;Clos de Vougeot Grand Cru;2021;Red
Albert Bichot;Château-Gris Les Terrasses;Gold;95;France;Burgundy;Nuits-Saint-Georges;2021;White
Henri & Gilles Remoriquet;Rue De Chaux;Gold;96;France;Burgundy;Nuits-Saint-Georges 1er Cru;2021;Red
Preinerwein;Zweigelt;Gold;95;Austria;Burgenland;Neusiedlersee;2021;Red
Falkenstein;Riesling;Gold;95;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Valle Venosta;2021;White
Domaine De L'Amandine;-;Gold;95;France;Rhône;Côtes du Rhône Villages Séguret;2021;Red
Château De Meursault;Les Charmes Dessus;Gold;95;France;Burgundy;Meursault 1er Cru;2021;White
Château De Meursault;Clos Des Chênes;Gold;96;France;Burgundy;Volnay 1er Cru;2021;Red
Viña Siegel;Terroir De Los Andes Mezcla Mediterranea;Gold;95;Chile;Colchagua;Los Lingues;2021;Red
Weingut Korrell;Norheimer Kirschheck Riesling;Gold;95;Germany;Nahe;Not Applicable;2021;White
Jordan Wine Estate;The Long Fuse Cabernet Sauvignon;Gold;95;South Africa;Stellenbosch;Not Applicable;2021;Red
Manns Wines;Solaris Chikumagawa Sauvignon Blanc;Gold;95;Japan;Chubu;Nagano;2021;White
Domaine Gérard Tremblay;Vaudesir;Gold;95;France;Burgundy;Chablis Grand Cru;2021;White
Gérard Bertrand;Villa Soleilla;Gold;96;France;Languedoc-Roussillon;Vin de France;2021;Orange
Rabbit & Spaghetti;Riesling;Gold;95;Australia;South Australia;Clare Valley;2021;White
Château Courac;-;Gold;95;France;Rhône;Côtes du Rhône;2021;Red
Joël Delaunay;La Voûte;Gold;95;France;Loire;Touraine Chenonceaux;2021;White
Ramón Do Casar;Godello;Gold;95;Spain;Ribeiro;Not Applicable;2021;White
Nanny Goat Vineyard;Pinot Noir;Gold;95;New Zealand;Central Otago;Not Applicable;2021;Red
Nanny Goat Vineyard;Super Nanny Pinot Noir;Gold;95;New Zealand;Central Otago;Not Applicable;2021;Red
Yarra Yering;Pinot Noir;Gold;95;Australia;Victoria;Yarra Valley;2021;Red
Yarra Yering;Underhill;Gold;95;Australia;Victoria;Yarra Valley;2021;Red
Yarra Yering;Agincourt Cabernet-Malbec;Gold;95;Australia;Victoria;Yarra Valley;2021;Red
La Chablisienne;Montée De Tonnerre;Gold;95;France;Burgundy;Chablis 1er Cru;2021;White
Herdade Da Calada;Caladessa;Gold;95;Portugal;Alentejo;Not Applicable;2021;White
Giant Steps;Applejack Vineyard Pinot Noir;Gold;95;Australia;Victoria;Yarra Valley;2021;Red
Stella Bella;Suckfizzle Chardonnay;Gold;95;Australia;Western Australia;Margaret River;2021;White
Paragon Wine Estates;Riddoch the Author Shiraz;Gold;95;Australia;South Australia;Coonawarra;2021;Red
Riddoch;The Pastoralist Cabernet Sauvignon;Gold;95;Australia;South Australia;Coonawarra;2021;Red
Riddoch;The Winegrower Shiraz;Gold;95;Australia;South Australia;Coonawarra;2021;Red
Krondorf;Founders View Grenache;Gold;95;Australia;South Australia;Barossa;2021;Red
Lothian;Chardonnay;Gold;96;South Africa;Elgin;Not Applicable;2021;White
Menin;Reserva;Gold;95;Portugal;Douro;Not Applicable;2021;White
Pinnacle Drinks;Mockingbird Hill Shiraz;Gold;95;Australia;South Australia;Clare Valley;2021;Red
Domaine Nathalie & Gilles Fèvre;Les Preuses;Gold;96;France;Burgundy;Chablis Grand Cru;2021;White
Weingut Birgit Eichinger;Ried Heiligenstein 1ötw Riesling;Gold;96;Austria;Niederösterreich;Kamptal;2021;White
Abbazia di Novacella;Praepositus Kerner;Gold;95;Italy;Trentino-Alto Adige/Südtirol;Alto Adige Valle Isarco;2021;White
Domaine De La Rochelierre;Noblesse Du Temps Mourvedre-Carignan-Grenache;Gold;96;France;Languedoc-Roussillon;Fitou;2021;Red
Sociedade Agrícola Boas Quintas;Morgado Cuvée Arinto;Gold;95;Portugal;Bucelas;Not Applicable;2021;White
Weingut Förthof;Stein Grüner Veltliner;Gold;95;Austria;Niederösterreich;Kremstal;2021;White
Kaiken Wines;Aventura Sur Malbec;Gold;95;Argentina;Mendoza;Los Chacayes, Tunuyán;2021;Red
Château Les Clottiers;-;Gold;95;France;Bordeaux;Blaye Côtes de Bordeaux;2021;Red
Château Romanin;Grand Vin Blanc;Gold;95;France;Provence;Les Baux-de-Provence;2021;White
Zimmermann;Kremser Gebling Grüner Veltliner;Gold;95;Austria;Niederösterreich;Kremstal;2021;White
Curly Flat;Pinot Noir;Gold;95;Australia;Victoria;Macedon Ranges;2021;Red
Château de Marmorières;Commanderie Saint Pierre La Garrigue;Gold;96;France;Languedoc-Roussillon;Languedoc La Clape;2021;Red
Boissy & Delaygue;Lou Pontias;Gold;95;France;Rhône;Côtes du Rhône;2021;Red
Katarzyna;Rubin;Gold;95;Bulgaria;Southern Region - Thracian Lowland;Thracian Valley;2021;Red
Allegiance Wines;The Artisan Reserve Shiraz;Gold;95;Australia;South Australia;McLaren Vale;2021;Red
Bodegas Manzanos;1890 Viñedo Singular;Gold;96;Spain;Rioja;Not Applicable;2021;Red
Sidewood Estate;Mappinga Shiraz;Gold;96;Australia;South Australia;Adelaide Hills;2021;Red
Rob Dolan Wines;White Label Chardonnay;Gold;95;Australia;Victoria;Yarra Valley;2021;White
Wild Earth Wines;Pinot Noir;Gold;96;New Zealand;Central Otago;Not Applicable;2021;Red
Spring Vale;Estate Pinot Noir;Gold;95;Australia;Tasmania;East Coast;2021;Red
Susana Balbo;Signature Brioso;Gold;96;Argentina;Mendoza;Agrelo, Luján de Cuyo;2021;Red
Hidden Bench Estate Winery;Pinot Noir;Gold;95;Canada;Ontario - Niagara Peninsula;Beamsville Bench;2021;Red
Trinity Hill;The Gimblett;Gold;96;New Zealand;Hawke's Bay;Gimblett Gravels;2021;Red
Nals Margreid;Sirmian Pinot Bianco;Gold;95;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol;2021;White
Fourth Wave Wine;Crate Shiraz;Gold;95;Australia;South Australia;Barossa;2021;Red
Blazic;Malvasia;Gold;96;Italy;Friuli-Venezia Giulia;Collio;2021;White
Alessandro Berselli Vini D'italia;Ruppiano;Gold;95;Italy;Tuscany;Bolgheri;2021;Red
Viña Terranoble;Disidente CMG;Gold;95;Chile;Maule;Not Applicable;2021;Red
Weingut Leindl;Ried Seeberg 1 Ötw Grüner Veltliner;Gold;96;Austria;Niederösterreich;Kamptal;2021;White
Château Bel Orme;Tronquoy De Lalande;Gold;95;France;Bordeaux;Haut-Médoc;2018;Red
Chateau Rauzan-Gassies;L'Orme;Gold;95;France;Bordeaux;Haut-Médoc;2018;Red
Tura Estate Winery;Mountain Peak;Gold;95;Israel;Judean Hills;Not Applicable;2018;Red
Bosca;Mabel;Gold;96;Italy;Piedmont;Barbera d'Asti Superiore;2018;Red
Viña Chocalan;Guillermo;Gold;95;Chile;Maipó Valley;Not Applicable;2018;Red
Newton;Cabernet Sauvignon;Gold;96;United States;California;Mount Veeder;2018;Red
Greenock Creek;Roennfeldt Road Shiraz;Gold;95;Australia;South Australia;Barossa Valley;2018;Red
Padelletti;-;Gold;95;Italy;Tuscany;Brunello di Montalcino;2018;Red
Fattoria Montecchio;-;Gold;95;Italy;Tuscany;Chianti Classico Riserva;2018;Red
The Wine Society;The Society's Exhibition;Gold;95;France;Rhône;Gigondas;2018;Red
Castiglion Del Bosco;Campo Del Drago;Gold;96;Italy;Tuscany;Brunello di Montalcino;2018;Red
Philippe Varone Vins;Stricto Sensu;Gold;95;Switzerland;Valais;Not Applicable;2018;Red
Salvaterra;Save the Land Bio;Gold;96;Italy;Veneto;Amarone della Valpolicella;2018;Red
Jean-Max Roger;Grand Chemarin;Gold;95;France;Loire;Sancerre;2018;White
Capanna;Nicco;Gold;96;Italy;Tuscany;Brunello di Montalcino;2018;Red
Château Lamothe-Bouscaut;-;Gold;95;France;Bordeaux;Pessac-Léognan;2018;Red
Fermoy;Reserve Cabernet Sauvignon;Gold;96;Australia;Western Australia;Margaret River;2018;Red
Pietranera;-;Gold;95;Italy;Tuscany;Brunello di Montalcino;2018;Red
Banfi;Poggio Alle Mura;Gold;95;Italy;Tuscany;Brunello di Montalcino;2018;Red
Banfi;Vigna Marrucheto;Gold;96;Italy;Tuscany;Brunello di Montalcino;2018;Red
Domaine Grosbois;Clôture;Gold;96;France;Loire;Chinon;2018;Red
Prović;Pagan Reserva;Gold;95;Croatia;Coastal;Srednja i Južna Dalmacija;2018;Red
Pradorey;Finca La Mina;Gold;95;Spain;Ribera del Duero;Reserva;2018;Red
Val Di Suga;Poggio Al Granchio;Gold;96;Italy;Tuscany;Brunello di Montalcino;2018;Red
Vinselekt Michlovský;Prem1er Frankovka;Gold;95;Czech Republic;Moravia;Velkopavlovická;2018;Red
Bodegas Peñafiel;Dominio De Miros;Gold;95;Spain;Ribera del Duero;Not Applicable;2018;Red
Il Cellese;-;Gold;95;Italy;Tuscany;Chianti Classico Riserva;2018;Red
Colline Di Sopra;Syrah;Gold;95;Italy;Tuscany;Costa Toscana;2018;Red
Château Mercian;Mariko Omnis;Gold;95;Japan;Chubu;Nagano;2018;Red
Buil & Giné;Carmí Salvatge;Gold;95;Spain;Priorat;Not Applicable;2018;Red
Château De Haute-Serre;Géron Dadine Malbec;Gold;96;France;Southwest France;Cahors;2018;Red
Alejandro Fernandez;Janus Tinto Pesquera;Gold;96;Spain;Ribera del Duero;Gran Reserva;2018;Red
Dominio De La Vega;Paraje Tornel Bobal;Gold;95;Spain;Utiel Requena;Not Applicable;2018;Red
Zuljan;Merlot;Gold;95;Slovenia;Primorska;Goriška Brda;2018;Red
Bodegas Carodorum;Seleccion Especial;Gold;95;Spain;Toro;Reserva;2018;Red
Darko Matijevic;Plavac Mali;Gold;95;Croatia;Coastal;Srednja i Južna Dalmacija;2018;Red
La Ronciere;Cabernet Franc;Gold;95;Chile;Curicó;Licantén;2018;Red
Bodegas Cornelio Dinastía;Selección Autor;Gold;95;Spain;Rioja;Not Applicable;2018;Red
Álvarez-Alfaro;Selección Familiar;Gold;96;Spain;Rioja;Not Applicable;2018;Red
Plaisir;Grand Red;Gold;95;South Africa;Paarl;Simonsberg-Paarl;2018;Red
Frédéric Bourillon;L'Indigène;Gold;95;France;Loire;Vouvray;2018;White
Tenute Lunelli;Carapace;Gold;95;Italy;Umbria;Sagrantino di Montefalco;2018;Red
Bodegas Tarón;Tarón Cepas Centenarias;Gold;95;Spain;Rioja;Not Applicable;2018;Red
Paco & Lola;Heritage Albariño;Gold;95;Spain;Rías Baixas;Not Applicable;2018;White
Le Filigare;Lorenzo;Gold;96;Italy;Tuscany;Chianti Classico Gran Selezione;2018;Red
Herederos Del Marqués De Riscal;Finca Torrea;Gold;96;Spain;Rioja;Not Applicable;2018;Red
Herederos Del Marqués De Riscal;Barón De Chirel;Gold;96;Spain;Rioja;Reserva;2018;Red
Mount Langi Ghiran;Langi Shiraz;Gold;95;Australia;Victoria;Grampians;2019;Red
Mount Langi Ghiran;Talus Shiraz;Gold;95;Australia;Victoria;Grampians;2019;Red
Masciarelli Tenute Agricole;Marina Cvetic;Gold;95;Italy;Abruzzo;Montepulciano d'Abruzzo Riserva;2019;Red
Bodegas La Ermita;Cepas Viejas Monatrell;Gold;96;Spain;Jumilla;Not Applicable;2019;Red
Morgante;Don Antonio Riserva;Gold;95;Italy;Sicily;Sicilia;2019;Red
Le Filigare;Pietro;Gold;95;Italy;Tuscany;Rosso Toscana;2019;Red
Negretti;Bricco Ambrogio;Gold;95;Italy;Piedmont;Barolo;2019;Red
Bodegas Portia;Summa;Gold;95;Spain;Ribera del Duero;Not Applicable;2019;Red
Clos De Lôm;Casa Las Monjas;Gold;95;Spain;Valencia;Not Applicable;2019;Red
Cascina Maria;-;Gold;95;Italy;Piedmont;Barolo;2019;Red
Tabali;Transversal Mezcla De Tintos;Gold;95;Chile;Limarí Valley;Not Applicable;2019;Red
Rolland & Galarreta;Clos D'en Ferran;Gold;96;Spain;Priorat;Not Applicable;2019;Red
Holdvölgy;Expression;Gold;95;Hungary;Tokaj;Not Applicable;2019;White
Domaine Serene;Two Barns Vineyard Pinot Noir;Gold;95;United States;Oregon;Dundee Hills;2019;Red
Spier Wines;21 Gables Cabernet Sauvignon;Gold;96;South Africa;Stellenbosch;Not Applicable;2019;Red
Famiglia Zingarelli;Sergio Zingarelli;Gold;95;Italy;Tuscany;Chianti Classico Gran Selezione;2019;Red
Nederburg;Private Bin Two Centuries Cabernet Sauvignon;Gold;95;South Africa;Coastal Region;Not Applicable;2019;Red
Ponting;366 Shiraz-Cabernet Sauvignon;Gold;95;Australia;South Australia;Cross-Regional Blend;2019;Red
Bodegas De Familia Burgo Viejo;Licenciado;Gold;95;Spain;Rioja;Reserva;2019;Red
Estate Argyros;Cuvée Evdemon;Gold;95;Greece;Aegean Islands;Santorini;2019;White
Cantina Tani Di Società Agricola Tani;Serranu;Gold;95;Italy;Sardinia;Isola dei Nuraghi;2019;Red
Sandra Doix;Marla Vi De Vila;Gold;96;Spain;Priorat;Not Applicable;2019;Red
Sandra Doix;Marla Vi De Paratge Carinyenes;Gold;95;Spain;Priorat;Not Applicable;2019;Red
Fritz;Bikavér;Gold;95;Hungary;Dél-Pannónia;Szekszárd;2019;Red
Château Patache D'Aux;-;Gold;95;France;Bordeaux;Médoc;2019;Red
Francisco García Pérez;Adega Do Moucho;Gold;95;Spain;Ribeiro;Not Applicable;2019;White
Vina Jakob;Jakob Cuvée;Gold;95;Croatia;Continental;Not Applicable;2019;Red
Hartenberg;Gravel Hill;Gold;95;South Africa;Stellenbosch;Bottelary;2019;Red
Clos Pachem;Camí De La Mina;Gold;96;Spain;Priorat;Not Applicable;2019;Red
Dobogó Pincészet;Úrágya;Gold;95;Hungary;Tokaj;Not Applicable;2019;White
Carska Vina Grgo Vasilj;David Cuvee Special Edition;Gold;95;Bosnia and Herzegovina;Mostar;Not Applicable;2019;Red
Domaine Langlois Château;Vieilles Vignes;Gold;95;France;Loire;Saumur;2019;White
Kraljevski Vinogradi;Gladiator;Gold;95;Croatia;Coastal;Sjeverna Dalmacija;2019;Red
Capichera Lomellina;Marchese D'azeglio Meriame;Gold;95;Italy;Piedmont;Barolo;2019;Red
Palacio De Villachica;Dehesa Don Diego;Gold;95;Spain;Ribera del Duero;Not Applicable;2019;Red
Luciano Arduini;El Ciano;Gold;95;Italy;Veneto;Verona;2019;Red
Thaya Vinařství;Apri Chardonnay;Gold;95;Czech Republic;Moravia;Znojemská;2019;White
Señorio De Villarrica;Marvellous Number One;Gold;95;Spain;Rioja;Not Applicable;2019;Red
Cantina Il Passo;Alberi in Piano;Gold;95;Italy;Basilicata;Aglianico del Vulture Superiore;2019;Red
La Spia;Pr28;Gold;95;Italy;Lombardy;Valtellina Superiore;2019;Red
Telavi Wine Cellar;Satrapezo Mtsvane;Gold;95;Georgia;Kakheti;Kondoli;2019;Orange
Familia Mea;Minis Terrios Roșu Împărat;Gold;95;Moldova;Valul Lui Traian;Not applicable;2019;Red
Diego Morra;San Lorenzo Di Verduno;Gold;95;Italy;Piedmont;Barolo;2019;Red
Donatien Bahuaud;Les Boires;Gold;95;France;Loire;Chinon;2019;Red
Château La Vivonne;-;Gold;96;France;Provence;Bandol;2019;Red
Dawson James;Chardonnay;Gold;95;Australia;Tasmania;Derwent Valley;2019;White
Aveleda;Quinta Vale D. Maria Vinhas Velhas;Gold;95;Portugal;Douro;Not Applicable;2019;Red
Villa Dondona;Oppidum;Gold;95;France;Languedoc-Roussillon;Languedoc Montpeyroux;2019;Red
Benvenuti;Livio Teran;Gold;96;Croatia;Coastal;Hrvatska Istra;2019;Red
Galić;Ego Tribidrag;Gold;95;Croatia;Coastal;Sjeverna Dalmacija;2019;Red
Domaine Poiron Dabin;-;Gold;95;France;Loire;Muscadet Sèvre et Maine Château-Thébaud;2019;White
Château De Landiras;Cuvée Jeanne De Lestonnac;Gold;95;France;Bordeaux;Graves;2019;Red
Vivoda;St. Euphemia Malvazija;Gold;95;Croatia;Coastal;Istria;2019;White
Gregor Kuonen Caveau De Salquenen;Grande Réserve Le Prestigieux Pinot Noir;Gold;95;Switzerland;Valais;Not Applicable;2019;Red
Groot Constantia Wine Estate;Gouverneurs Reserve;Gold;95;South Africa;Cape Town;Constantia;2019;Red
Cantina Tramin;Troy Chardonnay;Gold;95;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2019;White
Peter Lehmann;Stonewell Shiraz;Gold;95;Australia;South Australia;Barossa;2019;Red
Schloss Englar;Balthasius Pinot Noir;Gold;96;Italy;Trentino-Alto Adige/Südtirol;Alto Adige / Südtirol Riserva;2019;Red
Bodegas Nivarius;Edición Limitada;Gold;95;Spain;Rioja;Not Applicable;2019;White
S.C.V.;Collection 1933;Gold;96;France;Bordeaux;Pauillac;2019;Red
Bodegas Señorío De Líbano;Selección De La Familia;Gold;95;Spain;Rioja;Not Applicable;2019;Red
Ferruccio Deiana;Sileno;Gold;95;Italy;Sardinia;Cannonau di Sardegna Riserva;2019;Red
Poggio di Sotto;-;Gold;95;Italy;Tuscany;Rosso di Montalcino;2019;Red
Altavins;Vinerel Les Brisat Garnatxa Blanca;Gold;96;Spain;Terra Alta;Not Applicable;2019;Orange
Chateau De Montfaucon;Baron Louis;Gold;96;France;Rhône;Lirac;2019;Red
Domaine Naturaliste;Morus Cabernet Sauvignon;Gold;95;Australia;Western Australia;Margaret River;2019;Red
Huida Sunshine Ecological Winery;Qianhongyu Cabernet Sauvignon;Gold;95;China (Mainland);Ningxia;Helan Mountain East;2019;Red
Château D'epiré;Le Hu-Boyau;Gold;95;France;Loire;Savennières;2019;White
Chateau Changyu Castel;Premium Cabernet Gernischt;Gold;95;China (Mainland);Shandong;Yantai;2019;Red
Chateau Changyu Castel;Reserva Cabernet Gernischt;Gold;96;China (Mainland);Shandong;Yantai;2019;Red
Bemberg Estate Wines;La Linterna Finca El Tomillo Parcela Nº 1 Chardonnay;Gold;95;Argentina;Mendoza;Gualtallary, Tupungato;2019;White
Celler Piñol;Mather Teresina;Gold;96;Spain;Terra Alta;Not Applicable;2019;Red
Eraldo Viberti;Rocchettevino;Gold;96;Italy;Piedmont;Barolo;2019;Red
Artiga Fustel;La Bestia Monastrell;Gold;95;Spain;Jumilla;Not Applicable;2019;Red
Azienda Agricola Giacomo Fenocchio;Bussia;Gold;95;Italy;Piedmont;Barolo;2019;Red
Blue Pyrenees Estate;Richardson Reserve Cabernet Sauvignon;Gold;95;Australia;Victoria;Pyrenees;2019;Red
Mount Pleasant;1921 Vines Old Paddock Shiraz;Gold;95;Australia;New South Wales;Hunter Valley;2019;Red
Mount Pleasant;Single Vineyard O.P.&O.H. Shiraz;Gold;95;Australia;New South Wales;Hunter Valley;2019;Red
Cillar De Silos;La Viña De Amalio;Gold;96;Spain;Ribera del Duero;Not Applicable;2019;Red
Trinity Hill;Homage Syrah;Gold;96;New Zealand;Hawke's Bay;Not Applicable;2019;Red
Kabola Winery;Unica;Gold;96;Croatia;Coastal;Istria;2019;White
La Capilla;Vendimia Seleccionada;Gold;96;Spain;Ribera del Duero;Not Applicable;2019;Red
Finca Flichman;Dedicado Microterroir Sand & Silt Malbec;Gold;95;Argentina;Mendoza;Uco Valley;2019;Red
Villa Baulieu;Rolle-Sauvignon Blanc;Gold;95;France;Provence;Coteaux d'Aix-en-Provence;2019;White
Villa Baulieu;Syrah-Cabernet Sauvignon;Gold;95;France;Provence;Coteaux d'Aix-en-Provence;2019;Red
Daniel Pesat Wine;My Story;Gold;96;South Africa;Stellenbosch;Not Applicable;2019;Red
Carpineto;-;Gold;95;Italy;Tuscany;Vino Nobile di Montepulciano Riserva;2019;Red
Warwick Wine Estate;Trilogy;Gold;95;South Africa;Stellenbosch;Simonsberg-Stellenbosch;2020;Red
Brown Hill Estate;Ivanhoe Reserve Cabernet Sauvignon;Gold;95;Australia;Western Australia;Margaret River;2020;Red
Viñedos El Pacto;Riojanda Viñedo Singular;Gold;95;Spain;Rioja;Not Applicable;2020;Red
Château Haut De La Bécade;-;Gold;95;France;Bordeaux;Pauillac;2020;Red
Château Braude Fellonneau;-;Gold;95;France;Bordeaux;Haut-Médoc;2020;Red
Château Mongravey;-;Gold;96;France;Bordeaux;Margaux;2020;Red
Martín & Pons;-;Gold;95;Spain;Ribera del Duero;Not Applicable;2020;Red
Bodegas Etchart;Rutas De Cafayate Malbec Elegante;Gold;95;Argentina;Salta;Cafayate;2020;Red
Shiloh Winery;Secret Reserve Petit Verdot;Gold;95;Israel;Judean Hills;Shiloh;2020;Red
Bodega Antucura;Single Vineyard Tani Cabernet Franc;Gold;95;Argentina;Mendoza;Vista Flores, Tunuyán;2020;Red
Château Laurou;Les Complices;Gold;96;France;Southwest France;Fronton;2020;Red
Weingut Hans Wirsching;Iphöfer Julius-Echter-Berg Riesling;Gold;95;Germany;Franken;Grosses Gewächs;2020;White
Weingut Hans Wirsching;Iphöfer Kammer Riesling;Gold;96;Germany;Franken;Grosses Gewächs;2020;White
Domaine La Navicelle;Zephir;Gold;95;France;Provence;Côtes de Provence;2020;Red
O'Rourke Family Estate;Waiting for You Pinot Noir;Gold;95;Canada;British Columbia;Okanagan Valley;2020;Red
Dalwhinnie;The Eagle Shiraz;Gold;95;Australia;Victoria;Pyrenees;2020;Red
Domaine Cauhapé;La Canopée;Gold;95;France;Southwest France;Jurançon Sec;2020;White
Domaine De L'Herbe Sainte;Artemisia;Gold;96;France;Languedoc-Roussillon;IGP Pays d'Oc;2020;Red
Peccavi;The Estate Cabernet Sauvignon;Gold;95;Australia;Western Australia;Margaret River;2020;Red
Domaine De L'Argenteille;Les Secrets Du Rocher;Gold;96;France;Languedoc-Roussillon;Languedoc Terrasses du Larzac;2020;Red
Kacaba;Signature Series Reserve Cabernet Franc;Gold;95;Canada;Ontario - Niagara Peninsula;Niagara Escarpment;2020;Red
Viñaguareña;Munia Especial;Gold;95;Spain;Toro;Not Applicable;2020;Red
Torre Rosazza;Ronco Delle Magnolie Bianco;Gold;95;Italy;Friuli-Venezia Giulia;Colli Orientali del Friuli;2020;White
Carmelo Rodero;Pago De Valtarreña;Gold;95;Spain;Ribera del Duero;Not Applicable;2020;Red
Domaine Nadine Ferrand;Climat Pouilly;Gold;96;France;Burgundy;Pouilly-Fuissé 1er Cru;2020;White
Il Botolo;-;Gold;95;Italy;Piedmont;Barbera d'Asti Superiore;2020;Red
