Producer;Wine name;Award;Score;Country;Region;Sub-region;Vintage;Color
Boschendal;Appellation Series Chardonnay;Gold;95;South Africa;Elgin;Not Applicable;2021;White
Mutu;Reserve Chardonnay;Gold;95;New Zealand;Hawke's Bay;Not Applicable;2021;White
Esk Valley;Artisanal Syrah;Gold;95;New Zealand;Hawke's Bay;Not Applicable;2021;Red
Capensis;Silene Chardonnay;Gold;96;South Africa;Stellenbosch;Not Applicable;2021;White
La Cappuccina;San Brizio;Gold;96;Italy;Veneto;Soave;2021;White
Giesen Group;Ara Resolute Pinot Noir;Gold;95;New Zealand;Marlborough;Not Applicable;2021;Red
La Colombera;Il Montino;Gold;96;Italy;Piedmont;Colli Tortonesi;2021;White
Viña Undurraga;T.H. Pinot Noir;Gold;95;Chile;Malleco Valley;Traiguén;2021;Red
SUNTORY;Suntory From Farm Wine No Mirai Tateshina-Machi Koshu Reiryouchi Sodachi;Gold;95;Japan;Chubu;Nagano;2021;White
Famille Arnaud;La Roselière;Gold;95;France;Rhône;Côtes du Rhône;2021;Red
Famille Arnaud;Le Quart Du Roi;Gold;95;France;Rhône;Côtes du Rhône;2021;Red
Ppetroff;Biolan Cabernet Sauvignon-Merlot;Gold;95;Bulgaria;Southern Region - Thracian Lowland;Thracian Valley;2021;Red
Kuzubag Tarim;Öküzgözü Shiraz;Gold;95;Turkey;Mid-Southern Anatolia;Not Applicable;2021;Red
Gusbourne;Guinevere Chardonnay;Gold;95;United Kingdom;Kent;Not Applicable;2021;White
Maison Castel;Séries Limitées Chap. Ill Au Delà De La Brume;Gold;95;France;Rhône;Condrieu;2021;White
Bodegas Torres;Sangre De Toro Organic;Gold;95;Spain;Catalunya;Not Applicable;2021;Red
Viña Morande;Vitis Unica Sauvignon Blanc;Gold;95;Chile;Casablanca Valley;Not Applicable;2021;White
Château La Vivonne;-;Gold;95;France;Provence;Bandol;2021;Rosé
Fraser Gallop Estate;Parterre Chardonnay;Gold;96;Australia;Western Australia;Margaret River;2021;White
Capel Vale;Black Label Cabernet Sauvignon;Gold;95;Australia;Western Australia;Margaret River;2021;Red
Ktima Biblia Chora;Ovilos;Gold;95;Greece;Macedonia;Pangeon;2021;White
Staatlicher Hofkeller;Würzburger Stein-Berg Silvaner;Gold;95;Germany;Franken;Grosses Gewächs;2021;White
Brancott Estate;Letter Series O Chardonnay;Gold;95;New Zealand;Marlborough;Not Applicable;2021;White
Château De Sours;Quarry De Sours;Gold;95;France;Bordeaux;Bordeaux Blanc;2021;White
Mc Arthur Ridge;Southern Tor Pinot Noir;Gold;96;New Zealand;Central Otago;Alexandra Basin;2021;Red
Familia Bastida;Genio Español Roble;Gold;96;Spain;Jumilla;Not Applicable;2021;Red
Domaine Sylvain Ravier;Les Brêches;Gold;95;France;Savoie;Vin de Savoie Chignin-Bergeron;2021;White
